"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",0,8.80979716800612,94.43,1.6371,,614200,0.936729663105998,10.308908045977,0.0504672745034191,,0.0836049850311774,0.0865950247218362,155
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",1,7.15014670238551,94.72,4.3515,0.7532,597100,0.674422525712359,8.17028985507246,0.0213264109864344,,0.0592730448262337,0.0344794025357855,69
"City","Chicago","Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",2,1.24505676744483,79.16,,,210100,0.622605363984674,3.80434782608696,0.0267063303188957,,0.254726809613013,0.0402605301487382,98
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",3,2.70187523918867,85.99,8.7441,,132200,0.379650721336371,8.27190827190827,0.0412102874432678,,0.200549223937792,0.0545213082780981,99
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",4,6.66794233958413,86.87,7.2905,1.4255,200900,0.651302605210421,9.42265795206972,0.0369238427078149,,0.135249508460727,0.0211259555970092,69
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",5,2.77076157673173,78,10.433,3.0651,205100,0.637880274779195,9.44503735325507,0.0495173086299365,,0.197785212136839,0.071722962273494,73
"City","San Diego","San Diego","CA","San Diego, CA","""San Diego-Carlsbad, CA""",6,6.89118510014032,92.33,3.1979,0.5259,547900,0.311241303551813,5.85394126738794,0.0182113524365761,,0.0676787071607724,0.0172268454605453,63
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",7,9.36343921418548,96.59,5.1788,0.2235,158000,0.701083492670491,19.0655614167295,0.0738417721518987,,0.0630075290581211,0.026258269053823,58
"City","San Jose","San Jose","CA","San Jose, CA","""San Jose-Sunnyvale-Santa Clara, CA""",8,8.13369052175022,97.3,2.6995,0.4684,840100,0.454382398660768,5.15709100012517,0.00697655041066536,,0.0267465033384148,0.0178293206078348,50
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL","""Jacksonville, FL""",9,3.10498788110728,76.3,,,142600,1.13475177304965,9.3558282208589,0.0448457223001402,,0.199533009314828,0.0588394386443813,76
"City","San Francisco","San Francisco","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",10,7.62724837351703,97.22,1.562,0.0614,1116300,-0.0895014767743668,0.849218538260005,-0.000420137955746691,,0.0279186775389785,0.00994052284027194,48
"City","Austin","Austin","TX","Austin, TX","""Austin-Round Rock, TX""",11,5.35655058043118,70,,,303200,0.397350993377483,6.46067415730337,0.0327869393139841,,0.0607132022359133,0.00424909530735807,59.5
"City","Detroit","Detroit","MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,4.24543946932007,,,,36600,0.826446280991736,6.3953488372093,0.0378688524590165,,0.400370394448682,0.0409764553428208,88
"City","Columbus","Columbus","OH","Columbus, OH","""Columbus, OH""",13,4.94833524684271,,,,123600,0.980392156862745,7.75937227550131,0.0434223300970873,,0.148777727604947,0.0420076035841555,66
"City","Memphis","Memphis","TN","Memphis, TN","""Memphis, TN-MS-AR""",14,5.54790151805077,70,11.129,0.0303,78000,0.386100386100386,11.9081779053085,0.0491538461538461,,0.199532835781936,0.0508528648000464,88
"City","Charlotte","Charlotte","NC","Charlotte, NC","""Charlotte-Concord-Gastonia, NC-SC""",15,5.25832376578645,85.34,7.3318,0.0448,175500,0.573065902578797,8.26650215916101,0.041116809116809,,0.115982918701358,0.0351188338525104,67
"City","El Paso","El Paso","TX","El Paso, TX","""El Paso, TX""",16,1.22719734660033,0,,,113200,0.265721877767936,1.98198198198198,0.0369434628975265,,0.161819958935361,0.0218200518249575,
"City","Boston","Boston","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",17,5.93825743079474,98.78,,7.2205,517800,0.641399416909621,9.68015251006143,0.0442410196987253,,0.0919396966096358,0.0210231870006885,64
"City","Seattle","Seattle","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",18,9.62750350810052,98.62,2.7128,1.2348,611500,0.575657894736842,14.4273952095808,0.0631349141455437,,0.0562600430119282,0.00861108820876446,45
"City","Denver","Denver","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",19,9.72955734149764,97.21,1.6399,0.053,363500,1.00027785495971,9.98487140695915,0.0368885832187069,,0.0618683799669201,0.00414119588251285,58
"City","Washington","Washington","DC","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",20,7.72802653399668,94.34,2.0901,0.9166,527100,0.591603053435115,4.58333333333333,0.0350142287990893,,0.102764271047345,0.0497554686559466,72
"City","Nashville","Nashville","TN","Nashville, TN","""Nashville-Davidson--Murfreesboro--Franklin, TN""",21,9.48717948717949,96.88,3.3881,0.109,212400,1.23927550047664,13.4615384615385,0.0493502824858758,,0.070689062947886,0.0105834293516617,59
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","""Milwaukee-Waukesha-West Allis, WI""",22,1.07411659650466,,,,102700,0.884086444007859,7.31452455590387,0.0231937682570593,,0.296420496311407,0.0480974842197156,82.5
"City","Tucson","Tucson","AZ","Tucson, AZ","""Tucson, AZ""",23,5.45350172215844,77.27,10.0266,1.054,156600,0.837089504185447,6.53061224489796,0.0510536398467434,,0.188801186593093,0.0353373339094493,80.5
"City","Portland","Portland","OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",24,9.83798953948208,97.19,2.3032,2.4793,405500,0.695306679910603,16.9599077011826,0.0639013563501849,,0.0359020945958213,0.0142438108586238,62
"City","Omaha","Omaha","NE","Omaha, NE","""Omaha-Council Bluffs, NE-IA""",25,7.22413573159842,,,0.3838,147600,0.957592339261286,5.35331905781585,0.0335975609756098,,0.108116469991551,0.0146585677316813,63
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",26,5.38971807628524,,,,176500,1.4367816091954,4.56161137440758,0.0439263456090651,,0.181036117200028,0.0491896370597714,
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",27,3.98265084832249,87.37,7.9381,1.7197,199700,0.604534005037783,5.94164456233422,0.0416374561842765,,0.149194588732223,0.0393464624706859,68
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",28,7.68210230896798,91.79,7.3983,0.3023,281700,0.787119856887299,11.7857142857143,0.0664714235001775,,0.111774940160065,0.0314648488015427,58
